"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"NO";"ED120&slash_2DS";1;"COM";;;
2;"R4,R6";"R_0402_1005Metric";2;"100K";;;
3;"C2";"CAPC1005X55N";1;"3μF";;;
4;"K1";"PCN-105D3MHZ_000";1;"PCN-105D3MHZ_000";;;
5;"Q1";"NTK3134NT1G";1;"NTK3134NT";;;
6;"C1";"CAPC1005X55N";1;"0.1μF";;;
7;"R5,R3";"R_0402_1005Metric";2;"10K";;;
8;"R7,R2,R1";"R_0402_1005Metric";3;"1K";;;
9;"D1";"DIOM5336X320N";1;"SS34B";;;
10;"L1";"LED_0402_1005Metric";1;"LED";;;
11;"PB";"SAMTEC_MTMM-101-06-S-S-200";1;"Push Button";;;
12;"J-VIN";"SAMTEC_MTMM-101-06-S-S-200";1;"Jetson Nano VIN";;;
13;"Q2";"NTK3134NT1G";1;"NTK3134NT1G";;;
14;"U1";"TPN4R712MD";1;"TPN4R712MD";;;
15;"IC1";"SOT65P280X100-8N";1;"LTC2954";;;
16;"KILL,LED,INT";"SAMTEC_MTMM-101-06-S-S-200";3;"GPIO";;;
17;"3.3V";"SAMTEC_MTMM-101-06-S-S-200";1;"3.3V";;;
18;"5V-IN";"SAMTEC_MTMM-101-06-S-S-200";1;"5V VIN";;;
19;"LED";"SAMTEC_MTMM-101-06-S-S-200";1;"3.3V LED";;;
20;"M2,M2";"MountingHole_2.2mm_M2";2;"MountingHole_2.2mm_M2";;;
21;"5V-GND,GND";"SAMTEC_MTMM-101-06-S-S-200";2;"GND";;;
22;"";"";1;"";;;
23;"R-IN";"SAMTEC_MTMM-101-06-S-S-200";1;"INPUT";;;
24;"5V";"SAMTEC_MTMM-101-06-S-S-200";1;"5V/VCC";;;
